token,timestamp,open,high,low,close,volume
AVAXUSDT,1658275200000,24.7,26.38,23.38,23.59,28390426.0
AVAXUSDT,1658361600000,23.58,25.45,22.63,24.99,25555452.0
AVAXUSDT,1658448000000,24.99,25.55,23.57,23.61,18681924.0
AVAXUSDT,1658534400000,23.61,24.65,22.81,23.58,14344468.0
AVAXUSDT,1658620800000,23.58,24.48,23.21,23.77,11496921.0
AVAXUSDT,1658707200000,23.78,23.84,20.86,20.9,19223954.0
AVAXUSDT,1658793600000,20.9,20.97,19.53,20.69,17320396.0
AVAXUSDT,1658880000000,20.68,23.49,20.19,23.39,23378768.0
AVAXUSDT,1658966400000,23.38,24.7,22.4,24.19,24423044.0
AVAXUSDT,1659052800000,24.18,25.38,23.45,24.47,23335675.0
AVAXUSDT,1659139200000,24.48,25.83,23.88,24.22,16930173.0
AVAXUSDT,1659225600000,24.23,25.24,23.51,23.69,12511259.0
AVAXUSDT,1659312000000,23.68,24.32,22.94,23.57,12638153.0
AVAXUSDT,1659398400000,23.56,23.97,22.21,22.81,15096241.0
AVAXUSDT,1659484800000,22.82,24.19,22.25,23.02,12313154.0
AVAXUSDT,1659571200000,23.03,24.01,22.85,23.35,11803152.0
AVAXUSDT,1659657600000,23.36,24.99,23.08,24.95,13225341.0
AVAXUSDT,1659744000000,24.96,26.98,24.71,26.64,18880754.0
AVAXUSDT,1659830400000,26.64,28.5,25.81,27.87,24293768.0
AVAXUSDT,1659916800000,27.88,30.89,27.56,27.91,29861307.0
AVAXUSDT,1660003200000,27.92,28.79,26.9,27.39,24615010.0
AVAXUSDT,1660089600000,27.4,30.29,26.58,29.16,28743547.0
AVAXUSDT,1660176000000,29.16,30.1,28.22,28.51,19942879.0
AVAXUSDT,1660262400000,28.52,29.44,28.04,29.32,13602229.0
AVAXUSDT,1660348800000,29.33,30.37,28.84,29.15,12795862.0
AVAXUSDT,1660435200000,29.16,29.84,27.81,28.17,11757636.0
AVAXUSDT,1660521600000,28.17,29.28,27.03,27.87,15505829.0
AVAXUSDT,1660608000000,27.87,28.41,26.9,27.09,12726948.0
AVAXUSDT,1660694400000,27.1,28.21,25.23,25.54,16951543.0
AVAXUSDT,1660780800000,25.55,26.27,23.74,24.18,14281074.0
AVAXUSDT,1660867200000,24.18,24.41,21.0,22.42,27604264.0
AVAXUSDT,1660953600000,22.43,23.07,21.6,22.28,16633291.0
AVAXUSDT,1661040000000,22.28,23.57,22.12,22.95,13949758.0
AVAXUSDT,1661126400000,22.96,22.99,21.61,22.55,15368084.0
AVAXUSDT,1661212800000,22.54,23.74,21.8,23.5,16826927.0
AVAXUSDT,1661299200000,23.51,23.63,22.78,22.99,12200863.0
AVAXUSDT,1661385600000,22.98,23.65,22.63,22.97,10425613.0
AVAXUSDT,1661472000000,22.98,23.22,20.3,20.64,24382459.0
AVAXUSDT,1661558400000,20.63,20.87,19.76,20.03,16918309.0
AVAXUSDT,1661644800000,20.03,20.45,18.04,18.51,23043273.0
AVAXUSDT,1661731200000,18.51,19.46,17.46,19.3,43178165.0
AVAXUSDT,1661817600000,19.3,20.64,18.85,19.39,42062036.0
AVAXUSDT,1661904000000,19.39,20.07,18.96,19.12,25222196.0
AVAXUSDT,1661990400000,19.12,19.46,18.31,19.31,17947035.0
AVAXUSDT,1662076800000,19.3,19.65,18.65,18.83,15980709.0
AVAXUSDT,1662163200000,18.84,18.99,18.54,18.87,8288770.0
AVAXUSDT,1662249600000,18.87,19.15,18.7,19.0,10369557.0
AVAXUSDT,1662336000000,19.0,19.49,18.39,19.44,12580908.0
AVAXUSDT,1662422400000,19.43,20.49,18.11,18.19,29720397.0
AVAXUSDT,1662508800000,18.19,19.29,17.8,18.99,17849852.0
AVAXUSDT,1662595200000,18.98,19.16,18.38,19.13,16072233.0
AVAXUSDT,1662681600000,19.12,20.83,19.09,20.38,17717511.0
AVAXUSDT,1662768000000,20.38,21.18,20.02,20.43,14537659.0
AVAXUSDT,1662854400000,20.43,20.95,19.93,20.67,11665778.0
AVAXUSDT,1662940800000,20.67,21.89,20.04,21.36,27407501.0
AVAXUSDT,1663027200000,21.35,21.79,18.73,18.83,24877004.0
AVAXUSDT,1663113600000,18.84,19.3,18.42,19.1,14299065.0
AVAXUSDT,1663200000000,19.1,19.36,18.06,18.18,17142579.0
AVAXUSDT,1663286400000,18.19,18.3,17.54,18.04,14414608.0
AVAXUSDT,1663372800000,18.03,18.57,18.03,18.46,7567860.0
AVAXUSDT,1663459200000,18.46,18.74,16.05,16.69,17437712.0
AVAXUSDT,1663545600000,16.69,17.36,16.36,17.26,14436079.0
AVAXUSDT,1663632000000,17.25,17.4,16.55,16.65,12254629.0
AVAXUSDT,1663718400000,16.65,17.93,16.16,16.51,17824638.0
AVAXUSDT,1663804800000,16.51,17.87,16.37,17.66,14242931.0
AVAXUSDT,1663891200000,17.66,18.23,17.12,17.96,15847746.0
AVAXUSDT,1663977600000,17.95,18.19,17.53,17.59,7589632.0
AVAXUSDT,1664064000000,17.59,17.87,17.11,17.31,6498087.0
AVAXUSDT,1664150400000,17.31,17.58,16.95,17.56,10367210.0
AVAXUSDT,1664236800000,17.56,18.47,17.02,17.29,14922234.0
AVAXUSDT,1664323200000,17.29,17.44,16.72,17.25,11377069.0
AVAXUSDT,1664409600000,17.26,17.39,16.86,17.33,9396144.0
AVAXUSDT,1664496000000,17.33,17.73,17.0,17.18,11916652.0
AVAXUSDT,1664582400000,17.19,17.3,16.85,16.95,5067033.0
AVAXUSDT,1664668800000,16.95,17.16,16.42,16.52,7545935.0
AVAXUSDT,1664755200000,16.52,17.3,16.31,17.14,9940807.0
AVAXUSDT,1664841600000,17.14,17.54,17.05,17.43,7555966.0
AVAXUSDT,1664928000000,17.43,17.47,16.93,17.37,7248333.0
AVAXUSDT,1665014400000,17.37,17.67,16.96,17.02,7439717.0
AVAXUSDT,1665100800000,17.02,17.15,16.7,16.89,5705028.0
AVAXUSDT,1665187200000,16.88,16.99,16.6,16.76,2786587.0
AVAXUSDT,1665273600000,16.76,16.99,16.69,16.88,3130043.0
AVAXUSDT,1665360000000,16.88,17.24,16.12,16.19,7040563.0
AVAXUSDT,1665446400000,16.2,16.31,15.54,15.94,8918422.0
AVAXUSDT,1665532800000,15.94,16.15,15.8,15.94,4651136.0
AVAXUSDT,1665619200000,15.94,15.98,14.31,15.64,17650411.0
AVAXUSDT,1665705600000,15.64,16.4,15.53,15.66,10602602.0
AVAXUSDT,1665792000000,15.66,15.76,15.34,15.42,4340742.0
AVAXUSDT,1665878400000,15.42,15.87,15.39,15.73,4887079.0
AVAXUSDT,1665964800000,15.74,16.27,15.63,16.16,7999575.0
AVAXUSDT,1666051200000,16.17,16.35,15.56,15.86,9526721.0
AVAXUSDT,1666137600000,15.86,15.92,14.98,15.04,9906623.0
AVAXUSDT,1666224000000,15.05,15.44,14.85,15.13,11100067.0
AVAXUSDT,1666310400000,15.13,15.74,14.55,15.67,15057806.0
AVAXUSDT,1666396800000,15.67,15.93,15.5,15.66,6145205.0
AVAXUSDT,1666483200000,15.67,16.42,15.58,16.31,8793172.0
AVAXUSDT,1666569600000,16.3,16.49,15.62,15.74,8997621.0
AVAXUSDT,1666656000000,15.74,17.1,15.57,16.621,17354847.0
AVAXUSDT,1666742400000,16.621,17.349,16.62,16.992,19109883.0
AVAXUSDT,1666828800000,16.992,17.5,16.81,16.878,15911910.0
AVAXUSDT,1666915200000,16.88,18.39,16.708,18.32,19297432.0
AVAXUSDT,1667001600000,18.32,18.888,18.151,18.28,13323988.0
AVAXUSDT,1667088000000,18.28,18.824,17.906,18.241,10500702.0
AVAXUSDT,1667174400000,18.241,19.798,18.17,19.266,18183891.0
AVAXUSDT,1667260800000,19.263,19.528,18.563,18.614,11315151.0
AVAXUSDT,1667347200000,18.614,18.758,17.406,17.902,15628660.0
AVAXUSDT,1667433600000,17.902,18.867,17.788,18.022,9628523.0
AVAXUSDT,1667520000000,18.023,19.689,17.863,19.375,13878226.0
AVAXUSDT,1667606400000,19.372,20.6,19.18,19.593,13049016.0
AVAXUSDT,1667692800000,19.595,19.747,18.181,18.219,8190842.0
AVAXUSDT,1667779200000,18.219,18.847,17.646,18.065,11665576.0
AVAXUSDT,1667865600000,18.064,18.142,14.639,15.994,30566195.0
AVAXUSDT,1667952000000,15.995,16.14,11.916,12.858,30964288.0
AVAXUSDT,1668038400000,12.859,15.941,12.611,15.403,21110706.0
AVAXUSDT,1668124800000,15.407,15.45,13.56,14.12,14073079.0
AVAXUSDT,1668211200000,14.123,14.138,12.872,13.086,8524335.0
AVAXUSDT,1668297600000,13.085,13.35,12.612,13.011,8580820.0
AVAXUSDT,1668384000000,13.01,13.594,12.028,13.127,15466655.0
AVAXUSDT,1668470400000,13.126,13.996,12.994,13.505,12013627.0
AVAXUSDT,1668556800000,13.505,13.712,12.78,13.04,10231276.0
AVAXUSDT,1668643200000,13.041,13.34,12.645,12.859,11775785.0
AVAXUSDT,1668729600000,12.858,13.284,12.845,12.986,9252730.0
AVAXUSDT,1668816000000,12.987,12.988,12.477,12.88,6870343.0
AVAXUSDT,1668902400000,12.88,13.133,12.039,12.177,9448486.0
AVAXUSDT,1668988800000,12.177,12.188,11.53,11.806,16414181.0
AVAXUSDT,1669075200000,11.806,12.386,11.417,12.341,14803290.0
AVAXUSDT,1669161600000,12.343,13.053,12.331,13.049,11971433.0
AVAXUSDT,1669248000000,13.049,13.392,12.75,12.939,8769377.0
AVAXUSDT,1669334400000,12.94,13.027,12.51,12.813,6940344.0
AVAXUSDT,1669420800000,12.815,13.23,12.605,12.762,6700629.0
AVAXUSDT,1669507200000,12.763,13.25,12.677,12.855,6400430.0
AVAXUSDT,1669593600000,12.856,12.981,11.93,12.441,12625163.0
AVAXUSDT,1669680000000,12.44,12.723,12.266,12.456,9130689.0
AVAXUSDT,1669766400000,12.457,13.189,12.452,13.131,11929834.0
AVAXUSDT,1669852800000,13.133,13.312,12.779,12.896,8320546.0
AVAXUSDT,1669939200000,12.896,13.657,12.772,13.574,13112620.0
AVAXUSDT,1670025600000,13.575,13.9,13.276,13.403,12166958.0
AVAXUSDT,1670112000000,13.403,13.94,13.39,13.919,8673906.0
AVAXUSDT,1670198400000,13.918,14.347,13.4,13.599,12712608.0
AVAXUSDT,1670284800000,13.595,13.687,13.426,13.662,6656691.0
AVAXUSDT,1670371200000,13.661,13.693,12.979,13.259,8474060.0
AVAXUSDT,1670457600000,13.258,13.514,13.045,13.405,7117950.0
AVAXUSDT,1670544000000,13.405,13.616,13.346,13.451,6096527.0
AVAXUSDT,1670630400000,13.452,13.6,13.33,13.478,3720961.0
AVAXUSDT,1670716800000,13.479,13.496,12.9,12.972,4639128.0
AVAXUSDT,1670803200000,12.97,13.052,12.442,12.996,7127081.0
AVAXUSDT,1670889600000,12.997,14.434,12.548,13.75,14885231.0
AVAXUSDT,1670976000000,13.75,14.185,13.542,13.71,11595636.0
AVAXUSDT,1671062400000,13.711,13.895,13.061,13.17,8992973.0
AVAXUSDT,1671148800000,13.17,13.29,11.57,11.828,11331395.0
AVAXUSDT,1671235200000,11.829,11.99,11.509,11.943,7046832.0
AVAXUSDT,1671321600000,11.942,12.024,11.775,11.92,4382410.0
AVAXUSDT,1671408000000,11.92,12.093,11.106,11.383,8574856.0
AVAXUSDT,1671494400000,11.381,12.046,11.318,11.939,7167359.0
AVAXUSDT,1671580800000,11.939,11.985,11.613,11.698,4945043.0
AVAXUSDT,1671667200000,11.697,11.872,11.44,11.847,6262988.0
AVAXUSDT,1671753600000,11.848,11.883,11.615,11.775,4680491.0
AVAXUSDT,1671840000000,11.776,11.826,11.631,11.67,2797499.0
AVAXUSDT,1671926400000,11.67,11.728,11.495,11.673,4919982.0
AVAXUSDT,1672012800000,11.674,11.77,11.558,11.707,5173285.0
AVAXUSDT,1672099200000,11.709,11.798,11.522,11.641,5656282.0
AVAXUSDT,1672185600000,11.642,11.672,11.07,11.204,8326516.0
AVAXUSDT,1672272000000,11.205,11.222,10.591,10.967,8972066.0
AVAXUSDT,1672358400000,10.967,10.975,10.533,10.869,8744838.0
AVAXUSDT,1672444800000,10.869,11.074,10.833,10.903,3842406.0
SOLUSDT,1651363200000,84.51,93.16,84.0,89.61,10483398.0
SOLUSDT,1651449600000,89.61,90.85,85.02,87.44,8842773.0
SOLUSDT,1651536000000,87.44,88.79,84.58,85.81,5748943.0
SOLUSDT,1651622400000,85.82,93.1,85.42,92.7,9386594.0
SOLUSDT,1651708800000,92.7,95.22,81.05,84.48,13780385.0
SOLUSDT,1651795200000,84.47,84.78,79.79,81.63,11726372.0
SOLUSDT,1651881600000,81.64,82.29,77.0,78.8,7750477.0
SOLUSDT,1651968000000,78.8,79.36,73.58,75.34,11858880.0
SOLUSDT,1652054400000,75.34,77.19,61.61,62.08,27684716.0
SOLUSDT,1652140800000,62.07,73.99,60.0,66.83,31795763.0
SOLUSDT,1652227200000,66.83,68.44,43.06,50.84,48303489.0
SOLUSDT,1652313600000,50.85,54.33,37.1,44.63,56691055.0
SOLUSDT,1652400000000,44.64,56.37,43.81,48.88,32943655.0
SOLUSDT,1652486400000,48.88,53.94,45.75,52.4,20221240.0
SOLUSDT,1652572800000,52.4,59.29,49.57,58.8,17821126.0
SOLUSDT,1652659200000,58.8,58.8,51.8,53.77,22140006.0
SOLUSDT,1652745600000,53.78,58.2,53.0,57.0,19937437.0
SOLUSDT,1652832000000,57.01,57.83,49.34,49.92,19348761.0
SOLUSDT,1652918400000,49.91,54.06,48.07,52.18,24662199.0
SOLUSDT,1653004800000,52.18,53.62,47.76,49.41,25283753.0
SOLUSDT,1653091200000,49.4,51.2,48.36,50.27,12313932.0
SOLUSDT,1653177600000,50.27,53.16,49.64,52.44,12729438.0
SOLUSDT,1653264000000,52.44,54.66,48.56,49.14,19904405.0
SOLUSDT,1653350400000,49.13,50.83,47.04,49.66,17662688.0
SOLUSDT,1653436800000,49.65,50.54,47.53,47.95,15918475.0
SOLUSDT,1653523200000,47.95,48.65,41.56,43.41,31944688.0
SOLUSDT,1653609600000,43.41,43.92,39.91,41.15,37585417.0
SOLUSDT,1653696000000,41.15,45.1,40.3,44.22,18317303.0
SOLUSDT,1653782400000,44.22,45.66,41.77,44.95,20540692.0
SOLUSDT,1653868800000,44.95,48.58,44.24,47.21,24302104.0
SOLUSDT,1653955200000,47.21,48.23,44.52,45.76,20880840.0
SOLUSDT,1654041600000,45.75,46.12,39.49,40.09,25819704.0
SOLUSDT,1654128000000,40.09,41.7,38.1,40.84,32212216.0
SOLUSDT,1654214400000,40.84,41.52,37.55,38.24,27140271.0
SOLUSDT,1654300800000,38.25,39.55,35.65,38.99,27617082.0
SOLUSDT,1654387200000,38.99,40.22,37.81,38.51,26334769.0
SOLUSDT,1654473600000,38.5,44.99,38.31,42.35,44719001.0
SOLUSDT,1654560000000,42.36,42.77,37.06,39.28,51749410.0
SOLUSDT,1654646400000,39.29,40.94,38.24,38.8,25924339.0
SOLUSDT,1654732800000,38.81,41.96,38.4,39.95,25905188.0
SOLUSDT,1654819200000,39.94,40.9,36.73,37.12,28065208.0
SOLUSDT,1654905600000,37.13,37.91,33.13,33.91,32583858.0
SOLUSDT,1654992000000,33.92,34.5,30.53,30.56,45670821.0
SOLUSDT,1655078400000,30.56,31.09,26.0,28.58,102202032.0
SOLUSDT,1655164800000,28.58,32.21,25.81,29.56,76559650.0
SOLUSDT,1655251200000,29.57,34.87,26.75,34.72,78806086.0
SOLUSDT,1655337600000,34.72,36.26,29.52,30.1,64037750.0
SOLUSDT,1655424000000,30.09,32.11,29.21,30.7,41934041.0
SOLUSDT,1655510400000,30.71,32.0,27.09,31.98,61563165.0
SOLUSDT,1655596800000,31.98,35.43,28.67,34.16,64172010.0
SOLUSDT,1655683200000,34.17,36.9,31.7,35.22,57195766.0
SOLUSDT,1655769600000,35.23,39.25,34.18,36.39,55239261.0
SOLUSDT,1655856000000,36.39,36.86,33.62,34.11,46199415.0
SOLUSDT,1655942400000,34.11,38.69,33.88,38.15,47466482.0
SOLUSDT,1656028800000,38.14,42.91,37.64,41.89,42221178.0
SOLUSDT,1656115200000,41.89,42.61,39.72,42.21,31102600.0
SOLUSDT,1656201600000,42.2,42.49,39.1,39.36,28379658.0
SOLUSDT,1656288000000,39.36,41.28,37.8,38.5,29487738.0
SOLUSDT,1656374400000,38.5,39.88,35.05,35.32,37783221.0
SOLUSDT,1656460800000,35.31,36.1,33.09,34.02,40638255.0
SOLUSDT,1656547200000,34.02,34.19,30.79,33.73,44784872.0
SOLUSDT,1656633600000,33.73,35.39,31.79,32.83,44965929.0
SOLUSDT,1656720000000,32.83,34.15,31.83,33.34,23178184.0
SOLUSDT,1656806400000,33.35,33.71,32.12,33.37,19106717.0
SOLUSDT,1656892800000,33.37,36.95,32.41,36.71,29675528.0
SOLUSDT,1656979200000,36.71,36.97,33.06,35.37,37977932.0
SOLUSDT,1657065600000,35.37,37.65,34.77,37.01,36312383.0
SOLUSDT,1657152000000,37.02,39.26,36.36,38.44,28461790.0
SOLUSDT,1657238400000,38.44,39.7,36.42,38.1,36439992.0
